% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.11	1	12	12	1	82	20	161	1
0.111	1	5	12	2	20	20	161	0
0.111	1	7	12	2	29	20	161	0
0.111	1	1	12	2	87	20	161	1
0.111	1	6	12	2	91	20	161	1
0.112	1	9	12	3	39	20	161	0
0.112	1	2	12	3	50	20	161	0
0.112	1	13	12	3	94	0	7	1
0.112	1	3	12	3	96	0	7	1
0.113	1	11	12	4	58	20	161	0
0.113	1	10	12	4	63	20	161	0
0.113	1	14	12	4	1	20	161	1
0.113	1	15	12	4	12	20	161	1
0.114	1	8	12	5	71	20	161	0
0.114	1	4	12	5	78	20	161	0
0.114	1	5	12	5	20	20	161	1
0.114	1	7	12	5	29	20	161	1
0.115	1	12	12	6	82	20	161	0
0.115	1	1	12	6	87	20	161	0
0.115	1	9	12	6	39	20	161	1
0.115	1	2	12	6	50	20	161	1
0.116	1	6	12	7	91	20	161	0
0.116	1	13	12	7	94	0	7	0
0.116	1	11	12	7	58	20	161	1
0.116	1	10	12	7	63	20	161	1
0.117	1	3	12	8	96	0	7	0
0.117	1	14	12	8	1	20	161	0
0.117	1	8	12	8	71	20	161	1
0.117	1	4	12	8	78	20	161	1
0.118	1	15	12	9	12	20	161	0
0.118	1	5	12	9	20	20	161	0
0.118	1	12	12	9	82	20	161	1
0.118	1	1	12	9	87	20	161	1
0.119	1	7	12	10	29	20	161	0
0.119	1	9	12	10	39	20	161	0
0.119	1	6	12	10	91	20	161	1
0.119	1	13	12	10	94	0	7	1
0.12	1	2	13	1	50	20	161	0
0.12	1	11	13	1	58	20	161	0
0.12	1	3	13	1	96	0	7	1
0.12	1	14	13	1	1	20	161	1
0.121	1	10	13	2	63	20	161	0
0.121	1	8	13	2	71	20	161	0
0.121	1	15	13	2	12	20	161	1
0.121	1	5	13	2	20	20	161	1
0.122	1	4	13	3	78	20	161	0
0.122	1	12	13	3	82	20	161	0
0.122	1	7	13	3	29	20	161	1
0.122	1	9	13	3	39	20	161	1
0.123	1	1	13	4	87	20	161	0
0.123	1	6	13	4	91	20	161	0
0.123	1	2	13	4	50	20	161	1
0.123	1	11	13	4	58	20	161	1
0.124	1	13	13	5	94	20	161	0
0.124	1	10	13	5	63	20	161	1
0.124	1	8	13	5	71	20	161	1
0.125	1	14	13	6	1	20	161	0
0.125	1	15	13	6	12	20	161	0
0.125	1	4	13	6	78	20	161	1
0.125	1	12	13	6	82	20	161	1
0.126	1	5	13	7	20	20	161	0
0.126	1	7	13	7	29	20	161	0
0.126	1	1	13	7	87	20	161	1
0.126	1	6	13	7	91	20	161	1
0.127	1	9	13	8	39	20	161	0
0.127	1	2	13	8	50	20	161	0
0.127	1	13	13	8	94	20	161	1
0.127	1	3	13	8	96	20	161	1
0.128	1	11	13	9	58	20	161	0
0.128	1	10	13	9	63	20	161	0
0.128	1	14	13	9	1	20	161	1
0.128	1	15	13	9	12	20	161	1
0.129	1	8	13	10	71	20	161	0
0.129	1	4	13	10	78	20	161	0
0.129	1	5	13	10	20	20	161	1
0.129	1	7	13	10	29	20	161	1
0.13	1	12	14	1	82	20	161	0
0.13	1	1	14	1	87	20	161	0
0.13	1	9	14	1	39	20	161	1
0.13	1	2	14	1	50	20	161	1
0.131	1	6	14	2	91	20	161	0
0.131	1	13	14	2	94	20	161	0
0.131	1	11	14	2	58	20	161	1
0.131	1	10	14	2	63	20	161	1
0.132	1	3	14	3	96	20	161	0
0.132	1	14	14	3	1	20	161	0
0.132	1	8	14	3	71	20	161	1
0.132	1	4	14	3	78	20	161	1
0.133	1	15	14	4	12	20	161	0
0.133	1	5	14	4	20	20	161	0
0.133	1	12	14	4	82	20	161	1
0.133	1	1	14	4	87	20	161	1
0.134	1	7	14	5	29	20	161	0
0.134	1	9	14	5	39	20	161	0
0.134	1	6	14	5	91	20	161	1
0.134	1	13	14	5	94	20	161	1
0.135	1	2	14	6	50	20	161	0
0.135	1	11	14	6	58	20	161	0
0.135	1	3	14	6	96	20	161	1
0.135	1	14	14	6	1	20	161	1
0.136	1	10	14	7	63	20	161	0
0.136	1	8	14	7	71	20	161	0
0.136	1	15	14	7	12	20	161	1
0.136	1	5	14	7	20	20	161	1
0.137	1	4	14	8	78	20	161	0
0.137	1	12	14	8	82	20	161	0
0.137	1	7	14	8	29	20	161	1
0.137	1	9	14	8	39	20	161	1
0.138	1	1	14	9	87	20	161	0
0.138	1	6	14	9	91	20	161	0
0.138	1	2	14	9	50	20	161	1
0.138	1	11	14	9	58	20	161	1
0.139	1	13	14	10	94	20	161	0
0.139	1	3	14	10	96	20	161	0
0.139	1	10	14	10	63	20	161	1
0.139	1	8	14	10	71	20	161	1
0.14	1	14	15	1	1	20	161	0
0.14	1	15	15	1	12	20	161	0
0.14	1	4	15	1	78	20	161	1
0.14	1	12	15	1	82	20	161	1
0.141	1	5	15	2	20	20	161	0
0.141	1	7	15	2	29	20	161	0
0.141	1	1	15	2	87	20	161	1
0.141	1	6	15	2	91	20	161	1
0.142	1	9	15	3	39	20	161	0
0.142	1	2	15	3	50	20	161	0
0.142	1	13	15	3	94	20	161	1
0.142	1	3	15	3	96	20	161	1
0.143	1	11	15	4	58	20	161	0
0.143	1	10	15	4	63	20	161	0
0.143	1	14	15	4	1	20	161	1
0.143	1	15	15	4	12	20	161	1
0.144	1	8	15	5	71	20	161	0
