% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
106	2	9	39	0	20	161	0	1	1
107	2	11	58	0	20	161	0	1	1
107	2	2	50	0	20	161	0	1	1
108	1	6	91	0	20	161	0	1	0
108	1	14	1	0	20	161	0	1	0
108	2	10	63	0	20	161	0	1	1
108	2	8	71	0	20	161	0	1	1
109	1	5	20	0	20	161	0	1	0
109	1	15	12	0	20	161	0	1	0
109	2	12	82	0	20	161	0	1	1
109	2	4	78	0	20	161	0	1	1
110	1	7	29	0	20	161	0	1	0
110	1	9	39	0	20	161	0	1	0
110	2	1	87	0	20	161	0	1	1
110	2	6	91	0	20	161	0	1	1
111	1	2	50	0	20	161	0	1	0
111	1	11	58	0	20	161	0	1	0
111	2	14	1	0	20	161	0	1	1
111	2	13	94	0	0	7	0	1	1
112	1	10	63	0	20	161	0	1	0
112	1	8	71	0	20	161	0	1	0
112	2	15	12	0	20	161	0	1	1
112	2	5	20	0	20	161	0	1	1
113	1	12	82	0	20	161	0	1	0
113	1	4	78	0	20	161	0	1	0
113	2	7	29	0	20	161	0	1	1
113	2	9	39	0	20	161	0	1	1
114	1	6	91	0	20	161	0	1	0
114	1	1	87	0	20	161	0	1	0
114	2	11	58	0	20	161	0	1	1
114	2	2	50	0	20	161	0	1	1
115	1	3	96	0	0	7	0	1	0
115	1	13	94	0	0	7	0	1	0
115	2	10	63	0	20	161	0	1	1
115	2	8	71	0	20	161	0	1	1
116	1	15	12	0	20	161	0	1	0
116	1	14	1	0	20	161	0	1	0
116	2	12	82	0	20	161	0	1	1
116	2	4	78	0	20	161	0	1	1
117	1	7	29	0	20	161	0	1	0
117	1	5	20	0	20	161	0	1	0
117	2	1	87	0	20	161	0	1	1
117	2	6	91	0	20	161	0	1	1
118	1	2	50	0	20	161	0	1	0
118	1	9	39	0	20	161	0	1	0
118	2	3	96	0	0	7	0	1	1
118	2	13	94	0	0	7	0	1	1
119	1	10	63	0	20	161	0	1	0
119	1	11	58	0	20	161	0	1	0
119	2	14	1	0	20	161	0	1	1
119	2	15	12	0	20	161	0	1	1
120	1	8	71	0	20	161	0	1	0
120	1	4	78	0	20	161	0	1	0
120	2	7	29	0	20	161	0	1	1
120	2	5	20	0	20	161	0	1	1
121	1	1	87	0	20	161	0	1	0
121	1	12	82	0	20	161	0	1	0
121	2	9	39	0	20	161	0	1	1
121	2	2	50	0	20	161	0	1	1
122	1	6	91	0	20	161	0	1	0
122	1	13	94	0	0	7	0	1	0
122	2	11	58	0	20	161	0	1	1
122	2	10	63	0	20	161	0	1	1
123	1	3	96	0	0	7	0	1	0
123	1	14	1	0	20	161	0	1	0
123	2	4	78	0	20	161	0	1	1
123	2	8	71	0	20	161	0	1	1
124	1	5	20	0	20	161	0	1	0
124	1	15	12	0	20	161	0	1	0
124	2	1	87	0	20	161	0	1	1
124	2	12	82	0	20	161	0	1	1
125	1	7	29	0	20	161	0	1	0
125	1	9	39	0	20	161	0	1	0
125	2	13	94	0	0	7	0	1	1
125	2	6	91	0	20	161	0	1	1
126	1	2	50	0	20	161	0	1	0
126	1	11	58	0	20	161	0	1	0
126	2	14	1	0	20	161	0	1	1
126	2	3	96	0	0	7	0	1	1
127	1	10	63	0	20	161	0	1	0
127	1	8	71	0	20	161	0	1	0
127	2	15	12	0	20	161	0	1	1
127	2	5	20	0	20	161	0	1	1
128	1	12	82	0	20	161	0	1	0
128	1	4	78	0	20	161	0	1	0
128	2	7	29	0	20	161	0	1	1
128	2	9	39	0	20	161	0	1	1
129	1	6	91	0	20	161	0	1	0
129	1	1	87	0	20	161	0	1	0
129	2	11	58	0	20	161	0	1	1
129	2	2	50	0	20	161	0	1	1
130	1	13	94	0	20	161	0	1	0
130	2	10	63	0	20	161	0	1	1
130	2	8	71	0	20	161	0	1	1
131	1	15	12	0	20	161	0	1	0
131	1	14	1	0	20	161	0	1	0
131	2	12	82	0	20	161	0	1	1
131	2	4	78	0	20	161	0	1	1
132	1	7	29	0	20	161	0	1	0
132	1	5	20	0	20	161	0	1	0
132	2	1	87	0	20	161	0	1	1
132	2	6	91	0	20	161	0	1	1
133	1	2	50	0	20	161	0	1	0
133	1	9	39	0	20	161	0	1	0
133	2	3	96	0	20	161	0	1	1
133	2	13	94	0	20	161	0	1	1
134	1	10	63	0	20	161	0	1	0
134	1	11	58	0	20	161	0	1	0
134	2	14	1	0	20	161	0	1	1
134	2	15	12	0	20	161	0	1	1
135	1	8	71	0	20	161	0	1	0
135	1	4	78	0	20	161	0	1	0
135	2	7	29	0	20	161	0	1	1
135	2	5	20	0	20	161	0	1	1
136	1	1	87	0	20	161	0	1	0
136	1	12	82	0	20	161	0	1	0
136	2	9	39	0	20	161	0	1	1
136	2	2	50	0	20	161	0	1	1
137	1	6	91	0	20	161	0	1	0
137	1	13	94	0	20	161	0	1	0
137	2	11	58	0	20	161	0	1	1
137	2	10	63	0	20	161	0	1	1
138	1	3	96	0	20	161	0	1	0
138	1	14	1	0	20	161	0	1	0
138	2	4	78	0	20	161	0	1	1
138	2	8	71	0	20	161	0	1	1
139	1	5	20	0	20	161	0	1	0
139	1	15	12	0	20	161	0	1	0
139	2	1	87	0	20	161	0	1	1
139	2	12	82	0	20	161	0	1	1
140	1	7	29	0	20	161	0	1	0
140	1	9	39	0	20	161	0	1	0
140	2	13	94	0	20	161	0	1	1
140	2	6	91	0	20	161	0	1	1
141	1	2	50	0	20	161	0	1	0
141	1	11	58	0	20	161	0	1	0
141	2	14	1	0	20	161	0	1	1
141	2	3	96	0	20	161	0	1	1
142	1	10	63	0	20	161	0	1	0
142	1	8	71	0	20	161	0	1	0
142	2	15	12	0	20	161	0	1	1
142	2	5	20	0	20	161	0	1	1
143	1	12	82	0	20	161	0	1	0
143	1	4	78	0	20	161	0	1	0
143	2	7	29	0	20	161	0	1	1
143	2	9	39	0	20	161	0	1	1
144	1	6	91	0	20	161	0	1	0
144	1	1	87	0	20	161	0	1	0
144	2	11	58	0	20	161	0	1	1
144	2	2	50	0	20	161	0	1	1
145	1	3	96	0	20	161	0	1	0
145	1	13	94	0	20	161	0	1	0
145	2	10	63	0	20	161	0	1	1
145	2	8	71	0	20	161	0	1	1
146	1	15	12	0	20	161	0	1	0
146	1	14	1	0	20	161	0	1	0
146	2	12	82	0	20	161	0	1	1
146	2	4	78	0	20	161	0	1	1
147	1	7	29	0	20	161	0	1	0
147	1	5	20	0	20	161	0	1	0
147	2	1	87	0	20	161	0	1	1
147	2	6	91	0	20	161	0	1	1
148	1	2	50	0	20	161	0	1	0
148	1	9	39	0	20	161	0	1	0
148	2	3	96	0	20	161	0	1	1
148	2	13	94	0	20	161	0	1	1
149	1	10	63	0	20	161	0	1	0
149	1	11	58	0	20	161	0	1	0
149	2	14	1	0	20	161	0	1	1
149	2	15	12	0	20	161	0	1	1
150	1	8	71	0	20	161	0	1	0
